route,payload_size_bytes,total_queries,sleep_seconds,workers,min_worker_elapsed_time_ms,max_worker_elapsed_time_ms,avg_worker_elapsed_time_ms,stdev_worker_elapsed_time_ms,min_latency_ms,max_latency_ms,avg_latency_ms,stdev_latency_ms,qps
GET,1000,1000,0,1,1679.874668999997,1679.874668999997,1679.874668999997,0,1.639994,3.290258,1.679874668999997,0.07292645872853092,595.2825043759271
GET,10000,1000,0,1,1678.731691999997,1678.731691999997,1678.731691999997,0,1.640305,2.235342,1.678731691999997,0.038487414542123684,595.6878069113154
GET,100000,1000,0,1,1733.743771999999,1733.743771999999,1733.743771999999,0,1.686854,2.352939,1.7337437719999989,0.037188204079717145,576.786498760672
GET,1000000,1000,0,1,1949.0551770000002,1949.0551770000002,1949.0551770000002,0,1.877241,3.210314,1.9490551770000002,0.05638384663702237,513.0691074324573
GET,10000000,1000,0,1,5328.7892649999985,5328.7892649999985,5328.7892649999985,0,5.088487,9.162526,5.328789264999998,0.19693047737509284,187.6598886295047
GET,1000,2000,0,2,1938.105498000002,1938.1246470000008,1938.1150725000014,0.01354038775211633,1.671715,2.941695,1.9381150725000014,0.13277681102780678,1031.925373373573
GET,10000,2000,0,2,1917.7994790000016,1917.928428,1917.8639535000007,0.09118071232604245,1.683909,3.484302,1.9178639535000008,0.26660504060567297,1042.7917803406165
GET,100000,2000,0,2,2024.1940670000013,2026.419740000002,2025.3069035000017,1.57378847100439,1.699248,3.043992,2.0253069035000015,0.19189001830886626,986.9623555877906
GET,1000000,2000,0,2,2259.526525,2261.0679150000014,2260.297220000001,1.0899273214540015,1.906789,3.902599,2.260297220000001,0.214210292472219,884.5377826698315
GET,10000000,2000,0,2,7684.439452000002,7684.7365880000125,7684.588020000007,0.21010688054181695,6.666872,11.263619,7.684588020000007,0.5982887060903819,260.2561554449466
GET,1000,4000,0,4,2752.422769,2754.595757999999,2753.9566234999998,1.0269950136238486,2.217918,3.365673,2.7539566234999997,0.10382074645359626,1452.118695958582
GET,10000,4000,0,4,3246.3634819999984,3372.0559860000003,3313.1009319999994,51.702472237009495,2.060034,11.254991,3.3131009319999993,1.022950375373947,1186.2199253532797
GET,100000,4000,0,4,3532.592405000005,3678.5614390000005,3625.9699945000007,64.09730304221476,1.811936,19.767311,3.6259699945000006,1.4800572093436444,1087.3815936828232
GET,1000000,4000,0,4,5394.366986000003,5481.043751999997,5438.9197460000005,39.59126646332526,2.32259,9.269993,5.438919746,1.9024720106597468,729.7880077203226
GET,10000000,4000,0,4,18736.33774900003,19737.62919400001,19376.136719500013,461.8463361555801,7.612745,27.322005,19.376136719500014,3.4899001779694796,202.6585848119971
GET,1000,8000,0,8,4020.992771,4032.608445999996,4029.2917358749996,4.167162030604874,1.847924,37.124406,4.029291735875,1.891274163939761,1983.8276160769635
GET,10000,8000,0,8,4157.638983000004,4180.2929330000015,4167.134820375002,10.049939410896801,1.821503,39.192325,4.167134820375002,1.9902804732879198,1913.7414837239105
GET,100000,8000,0,8,4126.764169,4181.813858999994,4173.793425124998,19.17719167562228,1.787188,40.529484,4.173793425124998,2.2427020050556203,1913.04545580923
GET,1000000,8000,0,8,6615.771169000006,6704.904511000004,6683.966146625002,29.06553295093592,2.203511,53.493453,6.683966146625001,2.4327801666965647,1193.1564404646292
GET,10000000,8000,0,8,46257.199872000005,46892.41534900001,46706.12928875002,265.6104817428231,11.809732,92.360832,46.706129288750006,4.629370171912667,170.60328286481837
GET,1000,16000,0,16,5558.194645999985,6053.487134000003,5868.4168693750025,172.3611981822204,1.529651,59.681752,5.868416869375002,3.195572792363274,2643.104651223992
GET,10000,16000,0,16,5710.532354000004,6942.110771999997,6710.757808187501,323.35621362875816,1.754094,47.1566,6.710757808187501,3.52315033026591,2304.7745167843896
GET,100000,16000,0,16,6684.494361000003,7357.230402999998,7206.255422062498,235.33714114053487,1.88661,51.987168,7.206255422062497,3.644112655938538,2174.7314034743035
GET,1000000,16000,0,16,12265.728990000012,13253.158849999976,13009.197446,273.0500758972091,1.821274,64.957237,13.009197445999998,4.545064285137446,1207.2593546254845
GET,10000000,16000,0,16,76113.04343200017,76847.93296000008,76617.59547700002,221.75237792424213,6.955899,132.959372,76.61759547700002,9.23525055029815,208.20338796006547
GET,1000,32000,0,32,9515.154205000008,11424.425969000005,11150.45398540625,444.9746146650448,1.718415,36.344231,11.150453985406253,3.2844556148279382,2801.016006128578
GET,10000,32000,0,32,11615.957957000019,12289.095475000007,12125.508513625002,208.1673501052543,1.86584,61.606844,12.125508513625006,4.694678214655377,2603.934525946059
GET,100000,32000,0,32,13285.994132999987,14099.028730999995,13907.276166562498,224.6919586746086,1.872813,65.41469,13.907276166562497,5.49940811952186,2269.659890091617
GET,1000000,32000,0,32,20785.863315999948,21309.876231999995,21134.234765437497,152.11162689435676,2.301901,55.041859,21.1342347654375,5.146310481550074,1501.6511429544191
GET,10000000,32000,0,32,194167.66782700046,195720.52068000016,195363.34036415626,319.1500249400135,14.080258,281.095327,195.36334036415624,19.213097173361888,163.4984409852428
GET,1000,64000,0,64,18925.89346400001,21027.930974000024,20565.827205046866,595.127405012364,1.807987,65.119002,20.56582720504687,5.893839935907844,3043.5709570824047
GET,10000,64000,0,64,19502.883346999984,21986.472959999963,21463.90782696876,666.9606448656363,1.828757,55.966308,21.463907826968757,5.743442748935236,2910.880709081231
GET,100000,64000,0,64,24700.60688200004,26902.70181300001,26529.462566765615,521.1578640766382,2.807205,88.862591,26.529462566765627,9.752996314012936,2378.943217111142
GET,1000000,64000,0,64,38333.750103000006,39022.49608400001,38829.88646078125,166.88263838129348,2.430228,88.121923,38.82988646078125,7.9781306852040705,1640.0796059338002
GET,10000000,64000,0,64,313689.6154789999,313968.6637639998,313860.9244157812,49.427979507572985,234.243015,441.413674,313.8609244157813,21.077549816445707,203.8419988566335
GET,1000,128000,0,128,42915.87593200004,45207.889271000065,44645.64316182815,511.11567737473814,1.910706,122.461888,44.645643161828126,12.608300475456485,2831.3642168228675
GET,10000,128000,0,128,42394.68242999997,44676.47946600005,44214.62617161718,486.70129182058895,1.877121,94.643309,44.21462617161718,10.11424491290157,2865.042221990909
GET,100000,128000,0,128,52698.474986000016,53423.046380999986,53207.77524271875,163.9628139960877,2.465496,126.213337,53.20777524271874,11.856699149249796,2395.9696923147285
GET,1000000,128000,0,128,109968.70010799999,111814.19422799985,111303.1522524453,439.65895847553605,13.215953,235.67485,111.30315225244533,12.109269118561183,1144.7562707378254
GET,10000000,128000,0,128,607641.1725900002,609939.7922459987,609066.4384146485,477.3823427716702,43.951876,785.636902,609.066438414648,29.12600130836175,209.85677869722508
SET,1000,1000,0,1,1655.4008709999996,1655.4008709999996,1655.4008709999996,0,1.614265,4.370482,1.6554008709999997,0.09235207868871434,604.0832873284143
SET,10000,1000,0,1,1655.2950900000003,1655.2950900000003,1655.2950900000003,0,1.622501,4.346455,1.6552950900000003,0.09049467192835896,604.1218910399836
SET,100000,1000,0,1,1707.4093959999989,1707.4093959999989,1707.4093959999989,0,1.674691,3.829739,1.707409395999999,0.07072635762550022,585.6826150440141
SET,1000000,1000,0,1,2041.3786379999997,2041.3786379999997,2041.3786379999997,0,1.96483,4.367045,2.041378638,0.08662806357027086,489.86502620588317
SET,10000000,1000,0,1,5120.625851000002,5120.625851000002,5120.625851000002,0,4.670771,9.860744,5.120625851000002,0.39374396694423114,195.28862859697338
SET,1000,2000,0,2,1729.700898,1736.6563869999982,1733.1786424999991,4.918273438367112,1.615036,4.771405,1.733178642499999,0.14246907238935366,1151.6382946973852
SET,10000,2000,0,2,2478.6011820000017,2482.188173000001,2480.3946775000013,2.536385660154561,1.631537,5.404777,2.4803946775000014,0.20618876867823094,805.7406854786425
SET,100000,2000,0,2,2187.600293999999,2193.8837930000027,2190.742043500001,4.443104752481547,1.673889,8.85362,2.1907420435000007,0.4937720070814252,911.6253132373623
SET,1000000,2000,0,2,2637.66251,2640.8209760000013,2639.2417430000005,2.233372726748017,1.940674,6.274574,2.639241743000001,0.5319811021967877,757.3402431199104
SET,10000000,2000,0,2,16639.624397000007,17148.753831,16894.189114000004,360.0088752830652,12.109059,26.44242,16.894189114000003,1.3784166794825579,116.62655022690785
SET,1000,4000,0,4,1705.4815929999986,1719.1880409999987,1713.1031229999996,6.111784062120158,1.480446,4.426128,1.7131031229999998,0.20596141858129136,2326.679749164218
SET,10000,4000,0,4,1736.2490249999998,1739.177516999998,1737.58660725,1.2936357961728242,1.484634,7.702789,1.73758660725,0.26213148851595014,2299.9377354531453
SET,100000,4000,0,4,1915.5764740000009,1945.1771639999986,1929.7961330000003,15.279404394089207,1.556904,34.976984,1.929796133,0.8227528772917536,2056.367961761658
SET,1000000,4000,0,4,3335.9587990000005,3457.8756050000006,3425.7508845000007,59.883619313078654,1.861641,13.137573,3.425750884500001,1.051208508297513,1156.7796117986722
SET,10000000,4000,0,4,43865.15526099998,44012.84546000001,43942.760148000016,65.4403228747069,7.86865,69.389388,43.94276014800001,6.571968112399052,90.8825584484262
SET,1000,8000,0,8,2363.421417999998,2440.3891010000007,2404.0726443750013,23.823860657628877,1.554138,38.10099,2.404072644375001,0.9477753462421037,3278.165763288253
SET,10000,8000,0,8,2400.3955559999963,2467.7706220000014,2437.5249025,22.633016237587796,1.57071,21.515646,2.4375249025,0.5599850784185891,3241.7923808155274
SET,100000,8000,0,8,2588.5350619999977,2665.3436090000027,2634.229214625001,25.29665890441105,1.616639,13.37984,2.6342292146250004,0.6543339963376221,3001.4891787259958
SET,1000000,8000,0,8,6013.275642000002,6346.548753000007,6242.663250750001,98.82567068348587,2.15148,25.833154,6.242663250750001,1.2710529617891309,1260.5276208141327
SET,10000000,8000,0,8,67536.04453699985,68191.08647900006,67873.14537074997,239.90430626699145,5.518065,97.881462,67.87314537074998,9.856160349718117,117.31738579152362
